course_id;TERM_DESC;aprec;bprec;cprec;crn;dprec;fprec;instructor;regular_faculty
AA508;Spring 2014;83.333;16.667;0.0;32641;0.0;0.0;Leahy, John F.;0
AA508;Fall 2015;62.5;37.5;0.0;10015;0.0;0.0;Leahy, John F.;0
AAA321;Winter 2016;54.167;41.667;4.167;27061;0.0;0.0;Davis, Howard P.;0
AAA510;Winter 2014;85.714;14.286;0.0;28485;0.0;0.0;Lachman, Charles;1
AAAP510;Fall 2014;88.889;11.111;0.0;16987;0.0;0.0;Sardell, Shannon Mical;0
AAAP510;Winter 2015;41.667;58.333;0.0;26098;0.0;0.0;Miller Dowell, Amy Jeanette;0
AAAP510;Winter 2015;70.0;30.0;0.0;26476;0.0;0.0;Eisemann, Eric Lee;1
AAAP510;Fall 2015;86.667;13.333;0.0;10033;0.0;0.0;Sardell, Shannon Mical;0
AAAP510;Winter 2016;58.333;41.667;0.0;26689;0.0;0.0;Heath, Kingston W.;0
AAAP510;Fall 2017;66.66666666666666;33.33333333333333;0;17294;0;0;Matthews, Laurie Renee;0
AAAP511;Fall 2013;50.0;50.0;0.0;10949;0.0;0.0;Sardell, Shannon Mical;0
AAAP511;Fall 2014;70.0;30.0;0.0;10125;0.0;0.0;Carter, Elizabeth Jean;0
AAAP511;Fall 2015;66.667;16.667;16.667;10034;0.0;0.0;Carter, Elizabeth Jean;0
AAAP511;Fall 2017;64.28571428571429;50;0;10132;0;0;Buckley, James Michael;0
AAAP515;Fall 2014;81.818;18.182;0.0;16516;0.0;0.0;Bell, Christopher Squibb;0
AAAP522;Winter 2014;40.0;60.0;0.0;27855;0.0;0.0;Heath, Kingston W.;0
AAAP523;Spring 2015;75.0;25.0;0.0;36400;0.0;0.0;Bell, Christopher Squibb;0
AAAP531;Spring 2014;70.0;20.0;10.0;32657;0.0;0.0;Carter, Elizabeth Jean;0
AAAP531;Spring 2016;63.636;27.273;9.091;30047;0.0;0.0;Carter, Elizabeth Jean;0
AAAP531;Spring 2018;58.333333333333336;50;0;30074;0;0;Ranzetta, Kirk Edwards;0
AAAP541;Spring 2014;66.667;33.333;0.0;38873;0.0;0.0;Eisemann, Eric Lee;1
AAD199;Winter 2014;46.154;46.154;0.0;21408;0.0;7.692;Bukowski, Michael Alan;0
AAD199;Winter 2014;41.667;41.667;16.667;28210;0.0;0.0;Voelker-Morris, Robert Jack;0
AAD199;Winter 2015;46.154;15.385;15.385;20046;0.0;23.077;Voelker-Morris, Robert Jack;0
AAD199;Winter 2015;53.846;38.462;7.692;27191;0.0;0.0;Bukowski, Michael Alan;0
AAD199;Fall 2015;85.0;10.0;0.0;10044;0.0;5.0;Abia-Smith, Lisa Marie;0
AAD199;Winter 2016;58.333;25.0;16.667;20135;0.0;0.0;Voelker-Morris, Robert Jack;0
AAD250;Fall 2013;61.333;25.333;10.667;10964;1.333;1.333;Turner, David Graves;0
AAD250;Fall 2013;77.778;22.222;0.0;17999;0.0;0.0;Huette, Scott Edward;0
AAD250;Fall 2013;6.25;43.75;34.375;18000;12.5;3.125;Montoya, Maria del Carmen Espino;0
AAD250;Fall 2013;89.474;10.526;0.0;18001;0.0;0.0;Gurley, Gregory C.;0
AAD250;Winter 2014;79.104;10.448;7.463;21409;1.493;1.493;Redaelli, Eleonora;0
AAD250;Winter 2014;81.818;15.152;0.0;27145;0.0;3.03;Huette, Scott Edward;0
AAD250;Winter 2014;41.026;41.026;15.385;27146;0.0;2.564;Bretz, David Le Roy;0
AAD250;Winter 2014;13.793;41.379;24.138;27147;17.241;3.448;Montoya, Maria del Carmen Espino;0
AAD250;Spring 2014;72.464;18.841;5.797;32663;0.0;2.899;Gurley, Gregory C.;0
AAD250;Spring 2014;62.857;31.429;5.714;38500;0.0;0.0;Huette, Scott Edward;0
AAD250;Spring 2014;79.487;12.821;5.128;38501;0.0;2.564;Turner, David Graves;0
AAD250;Spring 2014;55.556;22.222;16.667;38502;5.556;0.0;Bretz, David Le Roy;0
AAD250;Spring 2014;78.947;7.895;13.158;38517;0.0;0.0;Gurley, Gregory C.;0
AAD250;Summer 2014;64.286;25.0;10.714;45640;0.0;0.0;Gurley, Gregory C.;0
AAD250;Summer 2014;91.667;8.333;0.0;45641;0.0;0.0;Anderson, Sisy Kay;0
AAD250;Summer 2014;72.727;12.121;9.091;47957;0.0;6.061;Gurley, Gregory C.;0
AAD250;Summer 2014;74.074;11.111;11.111;47961;0.0;3.704;Huette, Scott Edward;0
AAD250;Fall 2014;74.667;18.667;6.667;10140;0.0;0.0;Turner, David Graves;0
AAD250;Fall 2014;81.579;7.895;0.0;17034;5.263;5.263;Gurley, Gregory C.;0
AAD250;Fall 2014;82.857;8.571;5.714;17035;0.0;2.857;Huette, Scott Edward;0
AAD250;Fall 2014;37.838;32.432;16.216;17036;10.811;2.703;Bretz, David Le Roy;0
AAD250;Winter 2015;76.364;10.909;5.455;20047;3.636;3.636;Redaelli, Eleonora;0
AAD250;Winter 2015;67.647;20.588;5.882;26306;0.0;5.882;Hager, Lori L.;0
AAD250;Winter 2015;82.5;12.5;5.0;26307;0.0;0.0;Gurley, Gregory C.;0
AAD250;Winter 2015;62.5;25.0;12.5;26308;0.0;0.0;Huette, Scott Edward;0
AAD250;Winter 2015;50.0;26.667;16.667;26309;6.667;0.0;Bretz, David Le Roy;0
AAD250;Spring 2015;91.892;2.703;2.703;35992;0.0;2.703;Gurley, Gregory C.;0
AAD250;Spring 2015;55.882;32.353;8.824;35993;2.941;0.0;Huette, Scott Edward;0
AAD250;Spring 2015;37.143;45.714;11.429;35994;2.857;2.857;Bretz, David Le Roy;0
AAD250;Spring 2015;44.737;39.474;5.263;35995;2.632;7.895;Montoya, Maria del Carmen Espino;0
